'Page number,'Key,'Value,'Confidence Score % (Key),'Confidence Score % (Value)
"'3","'Account number:","'1234 5678 910","'94.80723572","'94.80723572"
"'4","'Account number:","'1234 5678 910","'95.19907379","'95.19907379"
"'2","'Account number:","'1234 5678 910","'94.89796448","'94.89796448"
"'3","'Your","'December 23, 2023 to January 26, 2024","'52.17152786","'52.17152786"
"'2","'Your electric bill for the period","'December 23, 2023 to January 26, 2024","'73.81353760","'73.81353760"
"'4","'Your electric bill for the period","'December 23, 2023 to January 26, 2024","'92.29798126","'92.29798126"
"'1","'JANUARY","'2024","'60.04375839","'60.04375839"
"'1","'Account Number:","'1234 5678 910","'95.04697418","'95.04697418"
"'1","'Billing Period:","'12-23-2023 to 1-26-2024","'95.08218384","'95.08218384"
"'1","'Service Address:","'123 MAIN ST 20003","'93.24565887","'93.24565887"
"'1","'Bill Issue Date:","'5-6-2024","'95.24967957","'95.24967957"
"'3","'Total Electric Delivery Charges","'24.56","'95.19627380","'95.19627380"
"'1","'WASHINGTON DC","'","'83.69266510","'83.69266510"
"'1","'Previous Balance","'$40.69","'95.38584900","'95.38584900"
"'2","'Jan 26 Reading","'","'66.68182373","'66.68182373"
"'1","'Supply","'$30.19","'70.04398346","'70.04398346"
"'1","'Payment(s) Received Thank you","'$40.69-","'95.32994843","'95.32994843"
"'1","'Total Amount Due","'$54.75","'94.15044403","'94.15044403"
"'1","'Balance as of May 6, 2024","'$0.00","'95.09503937","'95.09503937"
"'1","'Delivery","'","'100.00000000","'100.00000000"
"'2","'Your next bill period is scheduled to end on","'February 26, 2024","'75.33780670","'75.33780670"
"'1","'Delivery Distribution Charges - Pepco","'$24.56","'95.31112671","'95.31112671"
"'1","'Supply SOS Provider - Pepco","'$30.19","'95.25382233","'95.25382233"
"'3","'Total Electric Supply Charges","'30.19","'95.31433105","'95.31433105"
"'2","'Current charges for","'","'52.20490646","'52.20490646"
"'1","'Total Amount","'$54.75","'94.68479156","'94.68479156"
"'1","'Due by","'Feb 20, 2024","'80.78531647","'80.78531647"
"'1","'increasing the amount due to","'$55.30.","'50.86447525","'50.86447525"
"'3","'Your monthly Electricity use in kWh","'Jan 2023: 45° F Jan 2024: 41° F","'72.19771576","'72.19771576"
"'1","'Customer Service (7 a.m. - 8 p.m.)","'202-833-7500","'94.99017334","'94.99017334"
"'3","'Daily temperature averages:","'","'93.94085693","'93.94085693"
"'1","'TTY English","'1-800-643-3768","'95.49315643","'95.49315643"
"'1","'TTY Spanish","'1-800-546-7111","'95.54444122","'95.54444122"
"'1","'¿Problemas con la factura?","'202-833-7500","'95.27849579","'95.27849579"
"'1","'Electric Emergencies & Outages (24 hrs)","'1-877-737-2662","'94.96878052","'94.96878052"
"'2","'Subtotal (Set by DC PSC)","'20.81","'74.72347260","'74.72347260"
"'1","'Pepco is regulated by","'DC Public Service Commission, dcpsc.org 1325 G St. NW,","'60.00000381","'60.00000381"
"'1","'Suite 800, Washington DC","'20005, 202-626-5100","'82.22633362","'82.22633362"
"'2","'EDIT Credit 10 Year - KWH 280 kWh X $0.0004700- per","'0.13-","'50.11021423","'50.11021423"
"'1","'Consumer Advocate","'Office of People's Counsel, opc-dc.gov 655 15th Street NW,","'48.82163620","'48.82163620"
